iter	Passed	Remaining
0	158	157906
1	159	79561
2	160	53404
3	161	40316
4	163	32455
5	164	27235
6	165	23491
7	167	20748
8	168	18573
9	169	16817
10	171	15399
11	172	14203
12	173	13186
13	174	12312
14	176	11562
15	177	10907
16	179	10353
17	180	9844
18	182	9447
19	184	9030
20	185	8653
21	186	8304
22	188	7986
23	189	7693
24	190	7425
25	191	7177
26	192	6947
27	193	6729
28	195	6532
29	197	6377
30	199	6233
31	201	6081
32	202	5929
33	203	5780
34	204	5643
35	205	5513
36	206	5386
37	208	5268
38	209	5156
39	211	5086
40	213	4995
41	214	4903
42	216	4810
43	217	4722
44	218	4641
45	219	4558
46	220	4480
47	222	4403
48	223	4331
49	224	4263
50	226	4221
51	228	4158
52	229	4099
53	230	4038
54	231	3985
55	233	3931
56	234	3878
57	235	3826
58	236	3777
59	238	3729
60	240	3697
61	241	3660
62	243	3617
63	244	3574
64	245	3534
65	246	3494
66	248	3454
67	249	3415
68	250	3377
69	251	3340
70	252	3304
71	253	3271
72	256	3251
73	257	3218
74	258	3187
75	259	3157
76	260	3126
77	262	3098
78	263	3069
79	264	3041
80	265	3014
81	267	2989
82	267	2957
83	269	2934
84	271	2918
85	272	2893
86	273	2869
87	274	2845
88	275	2822
89	276	2798
90	277	2776
91	279	2755
92	280	2733
93	281	2712
94	282	2692
95	284	2681
96	286	2663
97	287	2643
98	288	2625
99	289	2607
100	290	2589
101	292	2570
102	293	2553
103	294	2538
104	295	2522
105	297	2506
106	299	2502
107	301	2487
108	302	2472
109	303	2456
110	304	2441
111	306	2427
112	307	2413
113	308	2400
114	310	2387
115	311	2374
116	312	2358
117	313	2345
118	314	2331
119	316	2318
120	317	2305
121	318	2290
122	319	2276
123	321	2269
124	322	2257
125	324	2247
126	324	2233
127	326	2222
128	327	2212
129	329	2202
130	330	2190
131	331	2179
132	332	2168
133	334	2158
134	335	2151
135	337	2144
136	338	2134
137	340	2124
138	341	2114
139	342	2104
140	343	2094
141	344	2081
142	345	2073
143	347	2063
144	348	2054
145	349	2046
146	352	2043
147	353	2033
148	354	2024
149	355	2016
150	357	2007
151	358	1999
152	359	1991
153	360	1982
154	362	1974
155	363	1965
156	364	1958
157	366	1953
158	367	1944
159	368	1936
160	369	1925
161	371	1923
162	373	1916
163	374	1908
164	375	1901
165	376	1893
166	378	1886
167	380	1884
168	381	1877
169	382	1869
170	384	1862
171	385	1857
172	387	1850
173	388	1842
174	389	1835
175	390	1829
176	392	1822
177	393	1816
178	395	1813
179	396	1806
180	397	1799
181	398	1792
182	400	1785
183	401	1779
184	402	1772
185	403	1766
186	404	1760
187	406	1754
188	407	1747
189	409	1744
190	410	1739
191	411	1733
192	413	1726
193	414	1720
194	415	1714
195	416	1708
196	417	1701
197	418	1695
198	419	1690
199	421	1684
200	422	1678
201	424	1677
202	425	1672
203	427	1667
204	428	1661
205	429	1656
206	431	1652
207	432	1647
208	433	1641
209	434	1635
210	435	1630
211	437	1624
212	439	1623
213	440	1618
214	441	1613
215	443	1608
216	444	1602
217	445	1597
218	446	1592
219	447	1587
220	448	1582
221	450	1577
222	451	1572
223	453	1572
224	455	1567
225	456	1563
226	457	1558
227	458	1553
228	459	1548
229	461	1544
230	462	1539
231	463	1534
232	464	1530
233	466	1525
234	468	1526
235	470	1521
236	471	1517
237	472	1512
238	473	1507
239	474	1503
240	476	1499
241	477	1494
242	478	1490
243	479	1486
244	481	1482
245	483	1481
246	484	1477
247	485	1473
248	487	1468
249	488	1464
250	489	1460
251	490	1456
252	491	1451
253	492	1447
254	493	1443
255	495	1439
256	496	1435
257	498	1433
258	499	1429
259	500	1425
260	502	1421
261	503	1417
262	504	1413
263	505	1409
264	506	1405
265	507	1401
266	509	1398
267	510	1394
268	512	1393
269	513	1389
270	515	1385
271	516	1382
272	517	1378
273	519	1375
274	520	1371
275	521	1367
276	522	1364
277	523	1360
278	524	1356
279	526	1354
280	528	1351
281	529	1347
282	530	1344
283	531	1340
284	532	1337
285	534	1333
286	535	1330
287	536	1326
288	537	1323
289	538	1319
290	540	1317
291	542	1315
292	543	1311
293	544	1308
294	545	1304
295	546	1300
296	548	1297
297	549	1294
298	550	1291
299	552	1288
300	553	1285
301	556	1286
302	558	1284
303	559	1281
304	560	1278
305	562	1276
